Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m³),Opmerkingen
20 jun. 2022,1.679,2.296,1.065,2.077,3.271,Smartmeter
19 jun. 2022,1.675,2.296,1.056,2.077,3.270,Smartmeter
18 jun. 2022,1.671,2.296,1.038,2.077,3.269,Smartmeter
17 jun. 2022,1.670,2.295,1.038,2.060,3.269,Smartmeter
16 jun. 2022,1.669,2.294,1.038,2.040,3.268,Smartmeter
15 jun. 2022,1.668,2.293,1.038,2.017,3.268,Smartmeter
14 jun. 2022,1.667,2.291,1.038,2.004,3.268,Smartmeter
13 jun. 2022,1.666,2.289,1.038,1.987,3.267,Smartmeter
12 jun. 2022,1.663,2.289,1.017,1.987,3.266,Smartmeter
11 jun. 2022,1.660,2.289,994,1.987,3.265,Smartmeter
10 jun. 2022,1.659,2.287,994,1.979,3.265,Smartmeter
9 jun. 2022,1.658,2.285,994,1.956,3.264,Smartmeter
8 jun. 2022,1.657,2.283,993,1.949,3.264,Smartmeter
7 jun. 2022,1.656,2.280,993,1.944,3.263,Smartmeter
6 jun. 2022,1.651,2.280,987,1.944,3.262,Smartmeter
5 jun. 2022,1.649,2.280,982,1.944,3.262,Smartmeter
4 jun. 2022,1.646,2.280,963,1.944,3.262,Smartmeter
3 jun. 2022,1.645,2.278,963,1.922,3.261,Smartmeter
2 jun. 2022,1.644,2.276,962,1.904,3.260,Smartmeter
1 jun. 2022,1.643,2.274,962,1.893,3.260,Smartmeter
31 mei 2022,1.643,2.271,962,1.875,3.260,Smartmeter
30 mei 2022,1.642,2.271,962,1.863,3.259,Smartmeter
29 mei 2022,1.639,2.271,955,1.863,3.258,Smartmeter
28 mei 2022,1.636,2.271,938,1.863,3.257,Smartmeter
27 mei 2022,1.635,2.270,938,1.845,3.257,Smartmeter
26 mei 2022,1.633,2.270,922,1.845,3.256,Smartmeter
25 mei 2022,1.632,2.267,921,1.831,3.255,Smartmeter
24 mei 2022,1.631,2.265,921,1.822,3.255,Smartmeter
23 mei 2022,1.631,2.264,921,1.814,3.255,Smartmeter
22 mei 2022,1.629,2.264,899,1.814,3.254,Smartmeter
21 mei 2022,1.626,2.264,884,1.814,3.253,Smartmeter
20 mei 2022,1.625,2.260,884,1.807,3.253,Smartmeter
19 mei 2022,1.624,2.257,884,1.804,3.252,Smartmeter
18 mei 2022,1.623,2.255,884,1.789,3.252,Smartmeter
17 mei 2022,1.623,2.253,884,1.773,3.251,Smartmeter
16 mei 2022,1.622,2.252,883,1.762,3.251,Smartmeter
15 mei 2022,1.619,2.252,862,1.762,3.250,Smartmeter
14 mei 2022,1.617,2.252,839,1.762,3.250,Smartmeter
13 mei 2022,1.616,2.249,839,1.747,3.249,Smartmeter
12 mei 2022,1.615,2.247,839,1.725,3.249,Smartmeter
11 mei 2022,1.614,2.244,839,1.711,3.249,Smartmeter
10 mei 2022,1.613,2.243,839,1.705,3.248,Smartmeter
9 mei 2022,1.612,2.241,839,1.682,3.248,Smartmeter
8 mei 2022,1.610,2.241,819,1.682,3.247,Smartmeter
7 mei 2022,1.607,2.241,807,1.682,3.247,Smartmeter
6 mei 2022,1.607,2.238,807,1.664,3.246,Smartmeter
5 mei 2022,1.606,2.237,807,1.647,3.244,Smartmeter
4 mei 2022,1.605,2.237,807,1.627,3.242,Smartmeter
3 mei 2022,1.605,2.237,807,1.620,3.242,Smartmeter
2 mei 2022,1.604,2.236,807,1.600,3.241,Smartmeter
1 mei 2022,1.600,2.236,791,1.600,3.239,Smartmeter
30 apr. 2022,1.595,2.236,788,1.600,3.235,Smartmeter
29 apr. 2022,1.594,2.233,788,1.593,3.230,Smartmeter
28 apr. 2022,1.593,2.231,788,1.587,3.229,Smartmeter
27 apr. 2022,1.589,2.231,782,1.587,3.225,Smartmeter
26 apr. 2022,1.588,2.230,782,1.570,3.224,Smartmeter
25 apr. 2022,1.587,2.226,782,1.568,3.222,Smartmeter
24 apr. 2022,1.585,2.226,762,1.568,3.221,Smartmeter
23 apr. 2022,1.583,2.226,743,1.568,3.221,Smartmeter
22 apr. 2022,1.582,2.223,743,1.548,3.220,Smartmeter
21 apr. 2022,1.581,2.221,743,1.531,3.220,Smartmeter
20 apr. 2022,1.580,2.219,743,1.513,3.220,Smartmeter
19 apr. 2022,1.579,2.217,743,1.495,3.219,Smartmeter
18 apr. 2022,1.577,2.217,724,1.495,3.218,Smartmeter
17 apr. 2022,1.573,2.217,704,1.495,3.218,Smartmeter
16 apr. 2022,1.568,2.217,686,1.495,3.217,Smartmeter
15 apr. 2022,1.567,2.211,686,1.493,3.214,Smartmeter
14 apr. 2022,1.566,2.210,686,1.477,3.213,Smartmeter
13 apr. 2022,1.565,2.208,686,1.469,3.210,Smartmeter
12 apr. 2022,1.564,2.206,686,1.456,3.209,Smartmeter
11 apr. 2022,1.564,2.203,686,1.440,3.208,Smartmeter
